Representative_Sequence	total	A23.C0	CreativEruC00	CreativEruC02	CreativEruC03	CreativEruC06	CreativEruC08	CreativEruC10	CreativEruC12	CreativEruC14	CreativEruC16	CreativEruC19	CreativEruC21	CreativEruC23	CreativEruC25	CreativEruC27	CreativEruC29	CreativEruC31	CreativEru_A01	CreativEru_A07	CreativEru_A09	CreativEru_A10	CreativEru_A13	CreativEru_A18	CreativEru_Y04	CreativEru_Y07	CreativEru_Y10	CreativEru_Y13	CreativEru_Y16	CreativEru_Y19	CreativEru_Y23	Y27.CN2	
Mpick104	176	18	24	12	16	8	7	8	4	18	4	0	0	3	3	0	1	0	1	1	0	0	13	0	2	3	18	0	0	3	4	5
Mpick105	19	0	14	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick106	13	0	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	1	0	0	0	0	0	0	0
Mpick107	9	0	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick108	12	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0
Mpick109	11	0	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick110	29	0	22	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick111	6	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick112	12	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick113	13	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick114	8	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
